participant_id,comment_id,do-goal,motor-goal,be-goal,FPN1_Autonomy,FPN2_Beauty,FPN3_Comfort,FPN4_Community,FPN5_Competence,FPN6_Fitness,FPN7_Impact,FPN8_Morality,FPN9_Purpose,FPN10_Recognition,FPN11_Relatedness,FPN12_Security,FPN13_Stimulation
10,3,"i aim to carry this charger portably in small bags/pockets, i also aim to be able to charge my phone for more hours than the current charger can offer.","by using the charger, I should be able to use my phone for a longer duration, take it out of my pockets easily with single hand, and put more things in my handbags.","I aspire to be minimalistic, be flexible and efficient of my space and time. I also aspire to save time from doing mundane tasks.",3,2,5,1,4,1,1,1,1,1,1,4,1
11,6,I buy both sponge and steel wool. I replace sponge often but not steel wool.,"I go to the market to find a better sponge so that I don't have to keep the steel wool. The day I find, it will be the last day for steel wool or else, steel wool continues to stay.","I like to keep my dishes clean. I don't want to soak them for long as I am keen to keep my kitchen sink clean always and not stuffed with utensils. Fresh, hygienic, and cleaner utensils are my goal.",1,3,5,2,3,4,1,1,2,3,1,4,3
12,3,"- I aim to charge my phone consistently without losing power
 - I aim to store it in a convenient way so I always have access to it","- By plugging my phone into the charger, I should be able to restore my phone's energy
 - By placing the charger into my bag or pocket, I should be able to have access to it any time at my convenience
 - By charging the charging block itself, I should be able to use it charge my phone in turn many times before I have to recharge the block
 - I have to remember to remove the charging block from my bag or pocket to charge it at home when it is empty; otherwise, I might be in a situation where I don't have a charge because the block is out of energy","- I aspire to be autonomous so I don't have to rely on others to charge my phone
 - I aspire to have freedom to use my phone anywhere without having to be tethered to a specific location to go back and charge it
 - I aspire to connect with others at any time because I can always charge my phone
 - I aspire to always feel safe because my phone will not be out of battery
 - I aspire to have comfort and convenience in the sense that my charger does not take up too much space or is too heavy
 - I aspire to have access to my phone at all times so I can do the things I need to do",5,2,4,3,1,1,1,1,1,1,3,5,4
13,2,I aim to charge my American electronics in Europe. I aim to pack light for ease of travel.,"By plugging in the adapter into the wall and my charger into the adapter, I should be able to charge my devices in Europe.",I aspire to stay connected to others while traveling. I aspire to feel safe while away from home. I aspire to be self sufficient while abroad.,5,1,4,4,5,1,1,1,1,1,1,5,1
14,1,I aim to store my items safely while traveling. I aim to transport my items comfortably while traveling.,"I need to pack my items in the luggage. I need to either roll my luggage or lift and carry my luggage to transport it places (from home into the car, from car into plane, etc)","I aspire to have a level of comfort when going somewhere (have my clothes, have my cosmetic items, etc). I aspire to have ease-of-mind in that my items are together and they are safe from the elements.",4,3,5,1,1,1,1,1,1,1,1,5,1
15,4,"Running some programs that require some computational power. 
 Try to connect his machine to several other external hard drives and monitors","Buy a new adapter, plug the adapter to the Mac Mini, plug the other end of the adapter to the monitor/external hard drives. 
 

 Writing a program, check if the Mac Mini able to run it by doing some benchmarking.",I aspire to have control over what I am doing. I aspire to have enough capability (self/machine) on the tasks I'm working on.,5,1,3,2,5,1,5,5,5,3,4,4,2
16,3,"I wish to charge my phone
 I aim to charge my phone to full capacity","By plugging in my phone, I should have my phone start charging
 By pluggin in my phone, my phone should charge all the way when the portable charger dies",I aspire to have a safety net in the form of my phone; I aim to retain connection to others,5,1,4,4,1,1,2,1,1,1,3,4,5
17,1,I aim to fit all my items in my luggage for travel. I also aim to easily move my luggage around.,"When packing my luggage, I should be able to fit all my items in the bag. Additionally, I should also be able to easily move it around and lift it during transit.",I aspire to travel with everything that I want to travel with. I also aspire to comfortably travel with little worry about how my items are doing.,1,2,5,1,3,1,1,1,1,1,1,4,1
18,4,I aim to set up my computer and use it in the immediate future; I expect good performance from my computer; I expect to be able to connect multiple external devices to my computer for my use;,I should be able to unbox everything easily; I need clear instructions for the setup process; My applications should be executed fast; I should be able to directly connect multiple devices to the computer without the need for an adapter.,I aspire to have a functional working set-up in the immediate future; I am looking for efficiency; I want a clutter-free environment.,4,4,5,1,5,1,4,1,3,1,1,1,2
19,3,"- I aim to charge my cell phone when I am on the go
 - I aim to fit my charger into my pocket when I am on the go 
 - I aim to be able to keep my phone charged all day","- By connecting a cord from my portable charger's USB port and plugging it into my cell phone's charging port, I should be able to charge my phone battery
 - By putting my portable charger into my purse, and connecting it to my cell phone which I also keep in my purse, I should be able to charge my phone battery even when I am commuting without access to wall charging outlets.","- I aspire to be able to communicate with others all the time
 - I aspire to have access to entertainment at all times so that I don't get bored",5,1,4,5,3,2,1,1,1,1,5,4,5
0,6,I aim to thoroughly clean my dishes; I am to get the dishes clean while keeping the rest of my space and things clean with minimal time and effort,"Wet the sponge, scrub the dishes with the rough side of the sponge, use another tool to scrub the dishes if the sponge does not get everything off, squeeze out the sponge, let the sponge dry",I aspire to have a clean and hygienic environment; I aspire to get tasks done to my standards quickly,2,3,3,1,1,5,1,1,1,1,1,2,1
1,8,"I am to use a mouse to play online games.
 I am to have a aesthetically pleasing mouse.","By pressing the right buttons, I should be able to control my mouse well.
 By plugging in my mouse, I can activate the colourful and aesthetically pleasing mouse.","I aspire to have more convenience in my life. 
 I aspire to be competent in gaming.",1,5,5,1,5,1,1,1,5,1,1,1,1
2,2,I aim to adapt my American charger to European wall outlets. I aim to carry this adapter with me when I travel. I aim to have this adaptor accessible when I need it in Europe.,"To have this adaptor accessible when needed, I need to carry it with me at all times I will potentially need it during my travel. To adapt my American charger, I need to bring this adaptor with me when I travel (likely in my carry-on luggage so it's easily accessible). To use this adaptor, I need to attach it to my existing American charger.",I aspire to be prepared to charge my devices in any situation. I aspire to feel secure and not worry about my devices running out of battery when I travel. I aspire to travel lightly and be able to carry everything I need on me. I aspire to travel easily.,5,3,5,1,2,1,1,1,2,1,1,5,1
3,14,"I aim to use a minimal amount of tools as possible for cleaning.
 I aim to get rid of the dust.","By wiping with the wipe, I should be able to clean the place.
 By only grabbing one wipe, I should be able to use a minimal amount of tools.","I aspire to keep my place clean.
 I aspire to think a bout the environment.",1,5,1,1,1,5,4,1,1,1,1,1,1
4,13,"I aim to have a clean home
 I aim to use one product to clean throughout my home","By maneuvering a vacuum over my floors to lift dirt, I will be able to clean my home
 By removing dirt from my floors, I will be satisfied with the state of my home","I aspire to live in a space free of dirt
 I aspire to clean in a convenient way, without having to switch tools",3,4,4,1,2,1,1,1,1,1,1,3,1
5,6,I aim to clean dishes. I aim to have a clean kitchen. I aim to handle a variety of food mess.,I should be able to scrub off anything stuck on the dishes. I should be able to use the sponge for a reasonable amount of time without it getting worse. I should be able to leave the sponge by the sink between uses.,I want to have a nice place to live. I want to spend as little time as needed doing chores.,4,5,4,3,1,1,1,2,1,2,1,1,1
6,6,"I aim to keep very clean dishes, reaching even tough stains. I aim to waste no time using extraneous cleaning products, and hope that I can stick with one solution for the long term.","By scrubbing dishes, I should be able to remove dirt. I should be able to use the product repeatedly without re-cleaning it each time.","I aspire to be as clean and tidy as possible, and to be efficient with my use of time.",3,5,5,1,2,1,1,1,1,1,1,1,1
7,11,I aim to optimize my mop. I aim to create a convenient and efficient mopping experience.,"By using a mop with replaceable pads, I can make sure the mop is clean at the start of every cycle. By using a new pad, it guarantees max absorption.",I aspire to optimize the amount of time it takes to do menial tasks such as mopping. I aspire to feel secure from having a clean space because of my mop.,2,4,5,1,4,4,3,1,4,3,1,5,4
8,7,I am to use a portable charger. I am to have a charged charger at all time. I aim to put the charger in my bag,"If I don't use the charger, no power should leak out of it. By plugging in my portable charger, I can refill the battery to keep using it.",I aspire to live a life of comfort. I aspire to have control over my enviornment.,3,1,5,1,3,1,1,1,1,1,1,4,1
9,2,I aim to adapt my electronics from american to european wall outlets.,"By using the travel adapter, I should be able to charge my american electronic device in european wall outlets.",I aspire to have a easy and simple life.,4,1,5,1,1,1,1,1,1,1,1,3,1
10,9,I aim to get rid of a leak in a sugary liquid that dried on the floor.,"By using the swiffer, I should be able to clean/remove the dried sugary liquid on my floor.","I aspire to be clean and self organized, I aspire to feel secure and have a comfortable living place.",2,5,4,1,1,5,1,1,1,1,1,2,2
11,7,"Use the portable charger often since I have a Samsung Galaxy Flip3, which drains its charging often.",I will carry it with me all the time when I go out. Generally I will carry in my jeans pocket.,"Safety, as mobile phone keeps me connected in need of emergency. Also, socializing, connection and avoid carrying charger and looking for charging points.",2,3,5,4,3,1,5,1,4,4,2,5,2
12,5,"- I am to perform computing tasks such as word processing, Internet use, answering emails, and so on on the go
 - I aim to be able to do those things for an extended period of time without interruption
 - I aim to multitask and do all sorts of different things at the same time
 - I aim to be able to do all of the above with as little effort as possible","- By plugging the laptop in, I should be able to charge it
 - By using the touchpad, keyboard, and screen, I should be able to do all the computing tasks necessary (not providing an exhaustive list, but anything a computer would allow you to do)
 - I should be able to do all the things I need to do without having to interrupt myself, e.g., because I ran out of battery or because there is not enough RAM","- The things I can do with a laptop are virtually limitless, so I can achieve a wide range of goals using my laptop:
 > I aspire to be connected to others (through social media, email)
 > I aspire to be successful (by doing my work)
 > I aspire to be entertained and stimulated (by playing games, watching movies, using the Internet)
 > I aspire to be well-informed (by reading and using the Internet as well)
 > And so on...
 I cannot do any of this wide range of things unless my laptop is fast and has a long-lasting battery. Otherwise, I may be inconvenienced in the middle of doing these things.",4,2,4,4,3,2,4,2,4,4,4,5,5
13,12,I aim to keep my household spaces clean. I aim to minimize my effort in cleaning.,"By pulling out a wipe and wiping down surfaces, I should be able to keep all of my household surfaces clean.",I aspire to live in a clean and comfortable environment. I aspire to feel a sense of control over my own living space.,4,5,5,1,4,4,1,1,1,1,1,4,1
14,24,I aim to track my health. I aim to look good wearing this watch.,"I will press buttons and bring up my health history. I will wear the watch, maybe change the bracelet, to look good.",I aspire to be healthier. I aspire to look better for my own confidence or to attract a certain person.,3,5,4,3,1,5,1,1,1,1,1,1,1
15,8,"I am to use the mouse to play games that require a lot of keymapping. 
 I am to use my mouse to help facilitate my office usage, such as macro some tasks or quicking click something that usually hard to navigate to.","I have to install the SteerMouse so I can bind the keys. Then, select each key and decide which functions I want to map the key to. Finally, I have to open the game I intended to play and test if that really works.
 

 Check if there is any function in particular that I want to use the additional keys for. 
 Then, I have to install the SteerMouse and map the keys. Finally, test if those keys really work, otherwise, go back and adjust.","I want to be more productive on the task I am working on (clicking faster, work faster) which would bring me to the next step of my career (or rank) 
 

 I want to progress on the task I'm working on so I can be more secure about my money, income, family, etc.",5,1,4,3,5,2,5,2,5,4,5,5,2
16,24,"I aim to track my sleep every night
 I aim to be able to use this watch everyday to keep track of my stats","By pressing on the screen, I should be able to navigate the smartwatch
 By sleeping with the watch on, I should be able to get data about my sleep","I aspire to track my sleep schedule and use that to improve my sleep health
 I aspire to be in charge of aspects of my health",2,1,1,1,2,5,4,1,4,1,1,1,4
17,14,I am to clean with a wipe. I also aim to use a new product out for cleaning purposes.,"By holding a wipe, I should be able to clean a mess by rubbing it against the mess. By trying a new product, I should be able to compare it to other products I have used in the past.",I aspire to have a clean environment. I also aspire to try a novel solution to an old problem.,1,5,3,1,4,5,1,1,1,1,1,3,1
18,17,I aim to be able to charge my phone when I don't have a phone charger on me; I am looking for a portable device;,I need a power bank that's small and can fit in my coat pocket when I'm outside; I need to be able to use the battery with a compatible cable that I possess; I want my phone to be charged at a reasonable speed.,I aspire for a sense of security concerning my phone; I want comfort; I want efficiency;,4,4,5,1,5,1,3,1,3,1,1,5,1
19,24,"- I aim to track and manage my sleep schedule
 - I aim to be comfortable wearing my accessories throughout the day","- By strapping the smart watch to my wrist and going to bed, then looking at the watch in the morning, the watch should be able to report stats about my sleep habits.
 - By strapping the watch to my wrist and going about my day like normal, the watch should not distract me due to being physically uncomfortable.","- I aspire to have healthy sleeping habits
 - I aspire to be physically healthy
 - I aspire to have control over my life and body",2,2,5,1,2,5,1,1,1,1,1,3,4
0,23,I aim to store a large amount of data; I aim to have a phone that is durable; I aim to have a phone that is functional but not necessarily anything more,Purchase a phone with ample data storage capacity; use the phone without being particularly careful,I aspire to be able to have as much data as I want comfortably without worrying about space; I aspire to do daily activities without being cautious,5,1,4,1,2,1,2,1,1,1,2,3,2
1,12,"I aim to clean my house.
 I aim to not have dirty items in my house.","By wiping my house down, I should be able to clean my house.
 By throwing away the cleaning equipments, I will not have dirty items in my house.","I aspire to be in a clean and comfortable enviroment.
 I aspire to continue being a clean and neat person.",1,1,5,1,1,1,5,1,5,3,1,5,1
2,9,"I aim to clean up basic dirt and ""whatnot."" I aim to clean up ingrained floor strains. I aim to clean up dried liquids. I aim to clean up anything on the floor (dirt, stains, dried liquids) with 1 item (i.e. this Swiffer wet mop). I aim to need only 1 item (i.e. this Swiffer wet mop) to clean my floor.","By using the swiffer wet mop, I should be able to clean up dirt, ""whatnots,"" ingrained floor stains, and dried liquids. By dragging the mop over anything I want to clean up, I want to easily be able to clean up that thing. By using the Swiffer wet mop, I want to eliminate my need for other cleaning objects (i.e. I won't need something ""tougher"" than this mop to clean my floors).",I aspire to clean easily. I aspire to clean efficiently. I aspire to have a clean floor. I aspire for my space to be clean. I aspire to not have to buy / store many cleaning items in my home.,5,5,5,1,4,1,1,1,1,1,1,3,1
3,4,"I aim to set it up fast and simple.
 I aim to connect a lot of cable.","By following the simple setting up procedure, I should be able to set the computer fast.
 By purchasing an external connecter, I should be able to connect a lot of cable.","I aspire to use the computer a lot for tasks.
 I hope to not have any trouble in the setting up process.",3,1,4,1,1,1,1,1,1,1,1,1,1
4,14,"I aim to have a clean home
 I aim to clean efficiently, using fewer products","By swiping a wipe across surfaces, I will make my home cleaner
 By using a quality wipe, I will be able to use fewer wipes and clean faster","I aspire to live in a clean space
 I aspire to impress others with my cleaning implements",2,3,4,1,3,1,1,1,1,1,2,2,1
5,8,I want to play video games with long nails. I want to work efficiently. I want to use my computer easily.,I want to be able to press buttons quickly. I want to be able to use computer shortcuts that I design. I want to enjoy using my computer.,I want to connect to my community. I want to feel competent and effective.,3,4,4,5,5,1,1,1,1,1,4,1,3
6,8,I aim to play games expertly on my computer. I aim to use productivity applications on my computer efficiently. I aim to have stylish accessories for use with my computer setup.,"By pressing the right button combinations on my mouse, I should be able to execute complex actions that a simple three-button mouse could not. By using software customizations, I should be able to transform the look and feel of my product.",I aspire to be a proficient gamer and have a likeminded social circle that respects and praises me.,4,5,5,3,5,1,1,1,2,4,3,1,4
7,12,I aim to have a clean space. I aim to use cleaning wipes often when I see a mess in my space. I aim to keep cleaning wipes on me in case I need to clean something.,"By having the cleaning wipes around, I can use them to clean almost anything. By having a trash can around, I can conveniently dispose of the cleaning wipe.",I aspire to be a hygienic person. I aspire to feel comforted and in control of my space.,2,4,4,3,3,1,5,4,2,3,1,5,4
8,9,I aim to clean up my floor. I aim to use my mop for more than just simple cleaning.,"By using the mop to wipe down the floors, I can clean up. By putting more force unto the mop, I can get off more of the stains.",I aspire to have a clean space that makes me feel comfortable. I aspire to be able to be self-sufficient.,5,5,2,1,2,1,1,1,1,1,1,1,1
9,7,I aim to charge my electronic device. I aim to charge my electronic device outside.,"By connecting my phone or electronic devices to the charger, my phone can be charged.",I aspire to have a convenient life.,5,1,5,1,1,1,1,1,1,1,1,3,1
10,11,"I aim to purchase a mop with replaceable pads that are affordable, can use for a long time, and effective.","By purchasing the mop, I should be able to change the pad easily, and clean the floor quickly.","I aspire to maintain a clean living space, I aspire to be frugal and respectful of my money and time.",5,1,4,1,1,2,1,1,1,1,1,5,4
11,10,I have variety of devices and I want to make sure I am able to get the right travel adapter. I will use it in multiple occasion and do not have to carry multiple adapters with me while travelling.,"I will keep it in my bag such that it doesn't occupy much space. I will make sure it is working. I will use it in trains, buses, flights, hotels and international travels. I will make sure it doesn't look bulky.","I want to carry only ONE adaptor. No extra baggage and gaze my safety, security and comfort while using my Tech-gadgets and stay connected. I will want to work from anywhere.",1,3,5,4,3,2,4,2,5,4,2,5,3
12,7,"- I aim to charge my devices (phone, laptop, etc.) at any time in any place when it is out of battery
 - I aim to store that ability to charge in a way that does not take up a lot of space
 - I aim to be able to charge my devices at any time for a long time before I need to recharge the charger","- By plugging my devices in to the charger, I should be able to recharge their batteries
 - By placing the charger in my backpack, I should be able to store it and access it conveniently again in the future
 - By removing the charger from my backpack and plugging it into a socket, I should be able to refill the capacity of the charger so I can use it again for a long period of time","- I aspire to be secure and not be caught in a position where my devices are out of battery and cannot be used
 - I aspire to achieve whatever my devices motivate me to achieve:
 > Being connected by using my phone
 > Having an impact and being competent by doing my work on my laptop
 > Being stimulated using those electronics at any given time
 - I aspire to be autonomous and not have to rely on someone else or be tethered to a specific location to be able to use my electronics",5,1,5,2,1,1,2,1,3,1,4,5,4
13,13,I aim to keep my hardwood floors and rugs clean. I aim to minimize my effort in keeping my space clean.,"By pressing the right buttons, I should be able to operate the vacuum and clean the right type of floor surface.",I aspire to keep my space clean. I aspire to live in a place that is nice and well maintained.,4,5,5,1,4,4,1,1,1,1,1,4,1
14,17,I aim to charge items on the go. I aim to comfortably carry a battery.,"I will charge my battery beforehand. I will bring my battery and the necessary cable to charge my device. I will plug my battery into my item needing charge,",Stay connected to the world by charging phone. Feel a sense of security that even when you are away from a wall plug you can still charge your items.,5,2,4,4,2,1,1,1,1,1,1,4,2
15,17,"I want to carry this item around with me so i can use it anytime i want to. 
 I want to use it to charge my phone.","I have to try putting the batter into my pocket to see if it really fir and compact enough for my daily usage. 
 I have to plug the cord to my phone and see if it really charges my phone.","I want to have the phone available all the time so I can have control of what I'm doing, the plans, or people around me. I want to be connected to the others. I want to be able to use my phone freely anytime I want to.",5,1,5,5,3,1,3,1,3,3,1,5,3
16,16,"I aim to clean my floors
 I aim to reduce the difficulty of scrubbing my floors","By using the swiffer wet wipes, my floor should be clean
 Using the swiffer wet wipes I should be able to reduce the scrubbing of my floor","I aspire to have a clean home
 I aspire to have an easier time maintaining a clean home",4,4,4,1,1,1,1,1,5,2,1,1,3
17,4,I aim to work on a Mac Mini. I aim to connect devices to it without external hardware purchases.,"By clicking the right buttons, I should be able to go from set-up to working on my computationally fast Mac Mini with ease. By using my Mac Mini's ports, I should be able to connect external devices to it without buying other hardware.",I aspire to focus on my daily work without having to worry about hardware set-up or a slow working set-up. I also aspire to have convenient connectivity with the environment/machines.,3,1,5,1,5,1,1,1,1,1,1,1,1
18,18,I aim to take a carryon suitcase when I travel; I want to be able to fit and organize my things inside the bag; I want to spend a reasonable amount of money on it.,I should be able to fit a large volume of items inside the suitcase; I need multiple pockets and compartments within the suitcase to help me organize my things; I need a compartment for my laptop that provides security.,I aspire to feel secure about my belongings; I want a sense of organization concerning my belongings;,4,4,4,1,4,1,4,1,3,1,1,5,1
19,5,"- I aim to get my work done on my laptop
 - I aim to have many apps open on my computer if required
 - I aim to have a long lasting laptop battery for my work","- By turning on the laptop without it being plugged in, and opening the apps I need for work, I should be able to complete my tasks without the laptop battery running out
 - By opening many applications on my laptop, I can engage in my work without the RAM getting fully used up","- I aspire to be a productive member of society
 - I aspire to be stimulated and entertained",4,1,5,1,4,1,1,1,1,1,1,4,5
0,10,I aim to charge my iPhone and other devices while traveling; I aim to only travel with one adapter,Insert iPhone and other wires into adapter,I aspire to feel secure and prepared,1,1,5,2,2,1,1,1,1,1,1,4,1
1,16,"I aim to clean my floors.
 I aim to clean other parts of my house as well.","By wiping, I should be able to clean my floor.
 By scrubbing, I should be able to clean parts of my house.","I aim to be in a clean and comfortable environment.
 I aim to be recognised as a neat and clean person.",1,4,4,1,1,1,4,1,4,5,1,4,1
2,11,I aim to replace the mop pads every time I clean. I aim to be able to easily clean. I aim to be able to easily change the mop pads. I aim to absorb liquids with the mop pad. I aim to clean my floors for a low cost. I am to buy a Swiffer mop that will last a long time (I will only need to replace the mop pads). I aim to buy a mop that is effective at cleaning so I won't need other items to clean my floor.,"By attaching the mop pad, I will be able to clean my floor easily. By attaching the mop pad, I will be able to clean liquids from my floor. By removing the mop pad, I will be able to easily discard the dirt/waste. By removing the mop pad, my mop will be clean to store until its next use. By buying the mop pads, I won't need to clean the mop. By buying the mop pads separately, my mop will have a long lifetime. By using mop pads (instead of traditional rope mops), it will be easy to clean my mop once I am done cleaning the floor. By using mop pads (instead of traditional rope mops), my mop is more sanitary. By using mop pads, I do not need to be separate liquid cleaners. By using mop pads fitted to my Swiffer mop, I will have an easy cleaning experience.",I aspire to have clean floors. I aspire to save money. I aspire to reuse items. I aspire to be sanitary. I aspire to easily store cleaning items in my home. I aspire to make informed purchasing decisions.,5,3,5,1,5,1,1,1,1,1,1,4,1
3,3,"I aim to use it daily.
 I aim to use charge an electronic device.","By putting it in my pocket, I should be able to carry it all around every day.
 By turning on the on/off button on the right, I should be able to charge.","I aspire to feel safe and ready.
 I aspire to feel not left alone with no battery.",1,1,3,1,1,1,1,1,1,1,1,4,1
4,15,"I aim to listen to music/calls from my phone
 I aim to be comfortable
 I hope to not have significant maintenance involved to keep this device working","By placing earbuds in my ears and connecting them to my phone, I will be able to hear the audio output of my phone
 By charging my earbuds regularly, I will be able to use them for several hours between charges","I aspire to minimize disturbance to those around me
 I aspire to have devices that fit me well despite what I perceive to be an abnormal body",2,2,4,1,1,1,1,1,1,1,1,1,2
5,10,I aim to plug in multiple different kinds of devices. I aim to need the fewest number of items when traveling.,I should be able to use my regular plugs with the travel adaptor to have a typical charging experience. I should be able to charge my phone and other electronics.,I want to be unburdened. I want to be able to travel. I want to have my iPhone work no matter what.,5,3,4,2,3,1,1,1,1,1,2,3,1
6,11,I want a tool to keep my belongings and spaces clean. I aim to keep the tool for a long time (it's reusable) and don't want to have to worry about how good a job it does of cleaning.,"By putting the tool on the ground and moving it back and forth, I should be able to pick up dirt. By simply leaving the tool behind after I'm done, I should be able to pick it up again and continue cleaning. If it doesn't work well, I can follow a simple process to restore its effectiveness.",I aspire to be clean and modern. I aspire to be in control of my spaces around me.,2,5,5,1,4,1,1,1,2,2,1,3,1
7,19,I aim to use headphones that function as they should. I aim to keep the current headphones that I have as they seem to do their job connecting to my devices. I aim to use my headphones for music.,"By turning on my device and connecting the headphones via Bluetooth, I can listen to sounds from my device. By engaging with the volume control, I can adjust my volume to fit the right conditions for my current environment.",I aspire to feel comforted. i aspire to feel empowered.,5,4,5,2,3,1,4,1,3,1,2,4,5
8,18,I aim to use my luggage for a long time. I am to put many objects in my luggage.,"By using the space effectively, I can bit everything in the suitcase. By taking good care of my luggage, it will last for a long time.",I aspire to have control overly life. I aspire to have simplicity.,4,4,2,1,3,1,1,1,1,1,1,2,1
9,17,I need to charge my phone. The device should be easy to carry. It should charge the phone quickly.,"By connecting the device to my phone, I should be able to have my phone full of battery. It should be light and fit in a small place. The charging process should be fast.",I want to have a easy and comfortable life.,4,1,5,1,1,1,1,1,1,1,1,2,1
10,16,I aim to clean the floors and also get rid of scrubbing efficiently/effectively with the swiffer wipes.,"By putting the swiffer wipes on swiffer, and swip on the floor, I should be able to clean the scrub on the floor easily.",I aspire to maintain a clean space and be effective in that as well.,1,1,3,1,1,4,1,3,5,1,1,2,1
11,12,"I will use cleaning wipes everywhere especially in the kitchen as I want my kitchen to be clean. I will use them to help support in dusting my house, once in a while.","I will pull it from the box. Apply to the effected area, rub it, and throw it.","Cleaner lifestyle, hygienic, and comfortable. I do not want to use much as I want to be sustainable. I want to make sure I don't have to store a hell lot of them.",1,5,5,5,2,3,5,3,3,5,1,5,1
12,14,"- I aim to clean myself or objects I control at any time and in any place
 - I aim for the standard of cleanliness to be sufficiently high","- By removing the wipes from their container, I should be able to grab them
 - By rubbing the wipes on a solid object, I should be able to remove dirt or anything I perceive as ""unclean"" from them
 - By removing the dirt or filth, I should be able to make the object clean and sanitary again
 - By throwing the wipe in the garbage or washing it, I should be able to either get rid of the wipe and the dirt it removed entirely or reuse it for another time
 - If the wipe is reusable, I should be able to use it many times without it losing its ability to clean well","- I aspire to be clean
 - I aspire to be aesthetic
 - I aspire to be safe and free from potential disease or harm that comes from dirt and filth
 - I aspire to be able to clean on my own without help
 - I aspire to be in control of my space
 - I aspire to be able to control my space efficiently and conveniently
 - I aspire to be able to remove things that are unpleasant from my view and my life
 - I aspire to have comfort because things are clean
 - I aspire to be seen as a clean person who looks after themselves
 - I aspire to keep spaces clean and safe for others I care about
 - I aspire to be good because cleanliness is good",4,5,5,3,3,4,4,5,3,2,2,5,1
